method,ablation,task_success_rate,dead_letter_rate,recovery_success_rate,silent_failure_rate,mean_time_to_recover_ms
retry_only,,0.4166666666666667,0.5833333333333334,0.0,0.0,0
adagentflow_rt,without_bounded_recovery,0.5,0.5,0.2727272727272727,0.0,0
adagentflow_rt,without_contract_monitor,0.3333333333333333,0.6666666666666666,0.0,0.0,0
adagentflow_rt,without_event_trace,0.5,0.5,0.2727272727272727,0.0,0
adagentflow_rt,without_fault_localizer,0.5,0.5,0.2727272727272727,0.0,0
retry_only,,0.4166666666666667,0.5833333333333334,0.0,0.0,0
adagentflow_rt,without_bounded_recovery,0.5,0.5,0.5,0.0,0
adagentflow_rt,without_contract_monitor,0.3333333333333333,0.6666666666666666,0.0,0.0,0
adagentflow_rt,without_event_trace,0.5,0.5,0.5,0.0,0
adagentflow_rt,without_fault_localizer,0.5,0.5,0.5,0.0,0
retry_only,,0.4166666666666667,0.5833333333333334,0.0,0.0,0
adagentflow_rt,without_bounded_recovery,0.5,0.5,0.42857142857142855,0.0,0
adagentflow_rt,without_contract_monitor,0.3333333333333333,0.6666666666666666,0.0,0.0,0
adagentflow_rt,without_event_trace,0.5,0.5,0.42857142857142855,0.0,0
adagentflow_rt,without_fault_localizer,0.5,0.5,0.42857142857142855,0.0,0
retry_only,,0.4166666666666667,0.5833333333333334,0.0,0.0,0
adagentflow_rt,without_bounded_recovery,0.5,0.5,0.2727272727272727,0.0,0
adagentflow_rt,without_contract_monitor,0.3333333333333333,0.6666666666666666,0.0,0.0,0
adagentflow_rt,without_event_trace,0.5,0.5,0.2727272727272727,0.0,0
adagentflow_rt,without_fault_localizer,0.5,0.5,0.2727272727272727,0.0,0
retry_only,,0.5,0.5,0.0,0.0,0
adagentflow_rt,without_bounded_recovery,0.5,0.5,0.42857142857142855,0.0,0
adagentflow_rt,without_contract_monitor,0.4166666666666667,0.5833333333333334,0.0,0.0,0
adagentflow_rt,without_event_trace,0.5,0.5,0.42857142857142855,0.0,0
adagentflow_rt,without_fault_localizer,0.5,0.5,0.42857142857142855,0.0,0
retry_only,,0.5,0.5,0.0,0.0,0
adagentflow_rt,without_bounded_recovery,0.5,0.5,0.375,0.0,0
adagentflow_rt,without_contract_monitor,0.4166666666666667,0.5833333333333334,0.0,0.0,0
adagentflow_rt,without_event_trace,0.5,0.5,0.375,0.0,0
adagentflow_rt,without_fault_localizer,0.5,0.5,0.375,0.0,0
retry_only,,0.5,0.5,0.0,0.0,0
adagentflow_rt,without_bounded_recovery,0.5,0.5,0.25,0.0,0
adagentflow_rt,without_contract_monitor,0.4166666666666667,0.5833333333333334,0.0,0.0,0
adagentflow_rt,without_event_trace,0.5,0.5,0.25,0.0,0
adagentflow_rt,without_fault_localizer,0.5,0.5,0.25,0.0,0
retry_only,,0.5,0.5,0.0,0.0,0
adagentflow_rt,without_bounded_recovery,0.5,0.5,0.42857142857142855,0.0,0
adagentflow_rt,without_contract_monitor,0.4166666666666667,0.5833333333333334,0.0,0.0,0
adagentflow_rt,without_event_trace,0.5,0.5,0.42857142857142855,0.0,0
adagentflow_rt,without_fault_localizer,0.5,0.5,0.42857142857142855,0.0,0
retry_only,,0.5,0.5,0.0,0.0,0
adagentflow_rt,without_bounded_recovery,0.5,0.5,0.375,0.0,0
adagentflow_rt,without_contract_monitor,0.4166666666666667,0.5833333333333334,0.0,0.0,0
adagentflow_rt,without_event_trace,0.5,0.5,0.375,0.0,0
adagentflow_rt,without_fault_localizer,0.5,0.5,0.375,0.0,0
retry_only,,0.5,0.5,0.0,0.0,0
adagentflow_rt,without_bounded_recovery,0.5,0.5,0.25,0.0,0
adagentflow_rt,without_contract_monitor,0.4166666666666667,0.5833333333333334,0.0,0.0,0
adagentflow_rt,without_event_trace,0.5,0.5,0.25,0.0,0
adagentflow_rt,without_fault_localizer,0.5,0.5,0.25,0.0,0
retry_only,,0.5,0.5,0.0,0.0,0
adagentflow_rt,without_bounded_recovery,0.5,0.5,0.42857142857142855,0.0,0
adagentflow_rt,without_contract_monitor,0.4166666666666667,0.5833333333333334,0.0,0.0,0
adagentflow_rt,without_event_trace,0.5,0.5,0.42857142857142855,0.0,0
adagentflow_rt,without_fault_localizer,0.5,0.5,0.42857142857142855,0.0,0
retry_only,,0.5,0.5,0.0,0.0,0
adagentflow_rt,without_bounded_recovery,0.5,0.5,0.375,0.0,0
adagentflow_rt,without_contract_monitor,0.4166666666666667,0.5833333333333334,0.0,0.0,0
adagentflow_rt,without_event_trace,0.5,0.5,0.375,0.0,0
adagentflow_rt,without_fault_localizer,0.5,0.5,0.375,0.0,0
retry_only,,0.5,0.5,0.0,0.0,0
adagentflow_rt,without_bounded_recovery,0.5,0.5,0.25,0.0,0
adagentflow_rt,without_contract_monitor,0.4166666666666667,0.5833333333333334,0.0,0.0,0
adagentflow_rt,without_event_trace,0.5,0.5,0.25,0.0,0
adagentflow_rt,without_fault_localizer,0.5,0.5,0.25,0.0,0
retry_only,,0.75,0.25,0.0,0.0,0
adagentflow_rt,without_bounded_recovery,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.0,0
adagentflow_rt,without_contract_monitor,0.75,0.25,0.0,0.0,0
adagentflow_rt,without_event_trace,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.0,0
adagentflow_rt,without_fault_localizer,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.0,0
retry_only,,0.75,0.25,0.0,0.0,0
adagentflow_rt,without_bounded_recovery,0.8333333333333334,0.16666666666666666,0.7142857142857143,0.0,0
adagentflow_rt,without_contract_monitor,0.75,0.25,0.0,0.0,0
adagentflow_rt,without_event_trace,0.8333333333333334,0.16666666666666666,0.7142857142857143,0.0,0
adagentflow_rt,without_fault_localizer,0.8333333333333334,0.16666666666666666,0.7142857142857143,0.0,0
retry_only,,0.75,0.25,0.0,0.0,0
adagentflow_rt,without_bounded_recovery,0.8333333333333334,0.16666666666666666,0.45454545454545453,0.0,0
adagentflow_rt,without_contract_monitor,0.75,0.25,0.0,0.0,0
adagentflow_rt,without_event_trace,0.8333333333333334,0.16666666666666666,0.45454545454545453,0.0,0
adagentflow_rt,without_fault_localizer,0.8333333333333334,0.16666666666666666,0.45454545454545453,0.0,0
retry_only,,0.75,0.25,0.0,0.0,0
adagentflow_rt,without_bounded_recovery,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.0,0
adagentflow_rt,without_contract_monitor,0.75,0.25,0.0,0.0,0
adagentflow_rt,without_event_trace,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.0,0
adagentflow_rt,without_fault_localizer,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.0,0
retry_only,,0.75,0.25,0.0,0.0,0
adagentflow_rt,without_bounded_recovery,0.8333333333333334,0.16666666666666666,0.7142857142857143,0.0,0
adagentflow_rt,without_contract_monitor,0.75,0.25,0.0,0.0,0
adagentflow_rt,without_event_trace,0.8333333333333334,0.16666666666666666,0.7142857142857143,0.0,0
adagentflow_rt,without_fault_localizer,0.8333333333333334,0.16666666666666666,0.7142857142857143,0.0,0
retry_only,,0.75,0.25,0.0,0.0,0
adagentflow_rt,without_bounded_recovery,0.8333333333333334,0.16666666666666666,0.45454545454545453,0.0,0
adagentflow_rt,without_contract_monitor,0.75,0.25,0.0,0.0,0
adagentflow_rt,without_event_trace,0.8333333333333334,0.16666666666666666,0.45454545454545453,0.0,0
adagentflow_rt,without_fault_localizer,0.8333333333333334,0.16666666666666666,0.45454545454545453,0.0,0
retry_only,,0.75,0.25,0.0,0.0,0
adagentflow_rt,without_bounded_recovery,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.0,0
adagentflow_rt,without_contract_monitor,0.75,0.25,0.0,0.0,0
adagentflow_rt,without_event_trace,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.0,0
adagentflow_rt,without_fault_localizer,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.0,0
retry_only,,0.75,0.25,0.0,0.0,0
adagentflow_rt,without_bounded_recovery,0.8333333333333334,0.16666666666666666,0.7142857142857143,0.0,0
adagentflow_rt,without_contract_monitor,0.75,0.25,0.0,0.0,0
adagentflow_rt,without_event_trace,0.8333333333333334,0.16666666666666666,0.7142857142857143,0.0,0
adagentflow_rt,without_fault_localizer,0.8333333333333334,0.16666666666666666,0.7142857142857143,0.0,0
retry_only,,0.75,0.25,0.0,0.0,0
adagentflow_rt,without_bounded_recovery,0.8333333333333334,0.16666666666666666,0.45454545454545453,0.0,0
adagentflow_rt,without_contract_monitor,0.75,0.25,0.0,0.0,0
adagentflow_rt,without_event_trace,0.8333333333333334,0.16666666666666666,0.45454545454545453,0.0,0
adagentflow_rt,without_fault_localizer,0.8333333333333334,0.16666666666666666,0.45454545454545453,0.0,0
